trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
0,0,21,42,42,1,11,12,-1,0,-1,farther
0,0,39,42,42,1,7,11,11,1,0.394007,closer
0,1,13,42,42,1,1,15,15,1,0.912994,closer
0,1,20,42,42,1,1,15,15,1,0.914596,closer
0,1,23,42,42,1,19,15,15,1,0.915297,closer
0,1,28,42,42,1,10,15,15,1,0.916088,closer
0,2,21,42,42,1,11,12,-1,0,-1,farther
0,2,39,42,42,1,11,7,-1,0,-1,farther
0,2,42,42,42,1,4,11,11,1,0.295003,closer
0,3,17,42,42,1,8,0,0,1,7.6416,closer
0,3,19,42,42,1,8,0,0,1,7.64525,closer
0,3,45,42,42,1,2,0,0,1,7.64688,closer
0,4,18,42,42,1,6,4,4,1,0.23457,closer
0,4,46,42,42,1,6,4,4,1,0.236252,closer
0,5,26,42,42,1,8,0,-1,0,-1,farther
0,5,49,42,42,1,8,0,-1,0,-1,farther
0,7,2,42,42,1,1,18,18,1,0.943566,closer
0,7,5,42,42,1,18,5,-1,0,-1,farther
0,7,7,42,42,1,1,18,18,1,0.945959,closer
0,7,22,42,42,1,18,7,-1,0,-1,farther
0,7,27,42,42,1,1,18,18,1,0.946901,closer
0,7,34,42,42,1,18,3,-1,0,-1,farther
0,7,45,42,42,1,0,18,18,1,0.947882,closer
0,7,48,42,42,1,2,18,18,1,0.949033,closer
0,8,6,42,42,1,13,13,-1,0,-1,farther
0,8,11,42,42,1,19,13,13,1,0.184512,closer
0,8,37,42,42,1,13,14,-1,0,-1,farther
0,9,2,42,42,1,18,1,-1,0,-1,farther
0,9,5,42,42,1,18,18,18,1,0.163523,closer
0,9,7,42,42,1,18,1,-1,0,-1,farther
0,9,22,42,42,1,18,18,-1,0,-1,farther
0,9,27,42,42,1,18,1,-1,0,-1,farther
0,9,34,42,42,1,18,18,18,1,0.164795,closer
0,9,40,42,42,1,3,18,18,1,0.165506,closer
0,9,45,42,42,1,18,0,-1,0,-1,farther
0,9,48,42,42,1,18,2,-1,0,-1,farther
0,10,0,42,42,1,10,19,-1,0,-1,farther
0,10,9,42,42,1,10,19,-1,0,-1,farther
0,10,10,42,42,1,10,4,-1,0,-1,farther
0,10,31,42,42,1,10,19,-1,0,-1,farther
0,10,32,42,42,1,10,19,-1,0,-1,farther
0,10,43,42,42,1,10,19,-1,0,-1,farther
0,11,6,42,42,1,13,3,-1,0,-1,farther
0,11,11,42,42,1,13,19,-1,0,-1,farther
0,11,34,42,42,1,18,13,13,1,0.195306,closer
0,11,37,42,42,1,13,14,-1,0,-1,farther
0,11,40,42,42,1,18,13,13,1,0.196598,closer
0,12,0,42,42,1,10,9,9,1,0.800261,closer
0,12,28,42,42,1,15,9,9,1,0.801553,closer
0,12,43,42,42,1,10,9,9,1,0.802344,closer
0,13,15,42,42,1,16,19,-1,0,-1,farther
0,13,29,42,42,1,16,3,-1,0,-1,farther
0,13,47,42,42,1,1,16,16,1,0.216906,closer
0,15,6,42,42,1,13,3,-1,0,-1,farther
0,15,11,42,42,1,13,19,-1,0,-1,farther
0,15,34,42,42,1,13,18,-1,0,-1,farther
0,15,37,42,42,1,13,14,-1,0,-1,farther
0,15,40,42,42,1,13,18,-1,0,-1,farther
0,16,25,42,42,1,3,13,-1,0,-1,farther
0,17,10,42,42,1,10,15,15,1,1.50072,closer
0,17,13,42,42,1,15,16,-1,0,-1,farther
0,17,20,42,42,1,15,16,-1,0,-1,farther
0,17,23,42,42,1,15,19,-1,0,-1,farther
0,18,25,42,42,1,3,13,-1,0,-1,farther
0,19,4,42,42,1,19,7,-1,0,-1,closer
0,19,14,42,42,1,7,0,-1,0,-1,farther
0,19,24,42,42,1,7,0,-1,0,-1,farther
0,19,30,42,42,1,7,0,-1,0,-1,farther
1,0,3,42,43,1,0,0,0,1,0.412162,closer
1,0,6,42,43,1,0,16,-1,0,-1,farther
1,0,9,42,43,1,0,3,-1,0,-1,farther
1,0,19,42,43,1,0,3,-1,0,-1,farther
1,1,7,42,43,1,7,13,13,1,0.881832,closer
1,1,8,42,43,1,18,13,13,1,0.883133,closer
1,2,10,42,43,1,8,18,-1,0,-1,farther
1,2,12,42,43,1,4,8,8,1,0.387287,closer
1,2,31,42,43,1,4,8,8,1,0.416918,closer
1,2,45,42,43,1,4,8,8,1,0.443504,closer
1,3,7,42,43,1,13,7,-1,0,-1,farther
1,3,8,42,43,1,13,18,-1,0,-1,farther
1,3,10,42,43,1,8,13,13,1,0.163813,closer
1,3,37,42,43,1,18,13,13,1,0.1911,closer
1,3,46,42,43,1,18,13,13,1,0.216355,closer
1,3,49,42,43,1,18,13,13,1,0.239687,closer
1,4,27,42,43,1,12,3,-1,0,-1,farther
1,4,29,42,43,1,10,12,12,1,0.170242,closer
1,4,34,42,43,1,12,3,-1,0,-1,farther
1,4,47,42,43,1,10,12,12,1,0.171734,closer
1,5,8,42,43,1,13,5,5,1,0.493232,closer
1,5,16,42,43,1,5,14,-1,0,-1,farther
1,5,33,42,43,1,5,19,-1,0,-1,farther
1,5,40,42,43,1,5,14,-1,0,-1,farther
1,7,2,42,43,1,19,9,-1,0,-1,farther
1,7,3,42,43,1,0,19,19,1,0.813709,closer
1,7,10,42,43,1,13,19,19,1,0.815272,closer
1,7,24,42,43,1,19,9,-1,0,-1,farther
1,7,25,42,43,1,19,9,-1,0,-1,farther
1,7,38,42,43,1,19,9,-1,0,-1,farther
1,8,20,42,43,1,18,13,-1,0,-1,farther
1,8,22,42,43,1,14,18,18,1,0.30883,closer
1,8,28,42,43,1,18,13,-1,0,-1,farther
1,9,2,42,43,1,19,9,-1,0,-1,farther
1,9,3,42,43,1,19,19,-1,0,-1,farther
1,9,9,42,43,1,0,19,19,1,2.90967,closer
1,9,10,42,43,1,19,13,-1,0,-1,farther
1,9,24,42,43,1,19,9,-1,0,-1,farther
1,9,25,42,43,1,19,9,-1,0,-1,farther
1,9,38,42,43,1,19,9,-1,0,-1,farther
1,10,4,42,43,1,9,3,3,1,0.151226,closer
1,10,23,42,43,1,3,19,-1,0,-1,farther
1,11,12,42,43,1,8,4,-1,0,-1,farther
1,11,27,42,43,1,12,8,8,1,0.492632,closer
1,11,31,42,43,1,8,4,-1,0,-1,farther
1,11,41,42,43,1,6,8,8,1,0.494114,closer
1,11,45,42,43,1,8,4,-1,0,-1,farther
1,12,11,42,43,1,4,1,1,1,0.330771,closer
1,12,21,42,43,1,1,1,-1,0,-1,farther
1,12,39,42,43,1,1,18,-1,0,-1,farther
1,13,13,42,43,1,15,15,-1,0,-1,farther
1,13,30,42,43,1,15,15,15,1,0.178744,closer
1,13,42,42,43,1,15,15,-1,0,-1,farther
1,14,7,42,43,1,13,5,-1,0,-1,farther
1,14,37,42,43,1,13,16,-1,0,-1,farther
1,14,46,42,43,1,13,16,-1,0,-1,farther
1,14,49,42,43,1,13,16,-1,0,-1,farther
1,15,20,42,43,1,18,9,9,1,0.190599,closer
1,15,26,42,43,1,9,2,-1,0,-1,farther
1,15,28,42,43,1,18,9,9,1,0.191611,closer
1,16,18,42,43,1,14,2,-1,0,-1,closer
1,17,2,42,43,1,19,3,-1,0,-1,farther
1,17,3,42,43,1,19,0,-1,0,-1,farther
1,17,9,42,43,1,19,19,-1,0,-1,farther
1,17,10,42,43,1,19,9,-1,0,-1,farther
1,17,19,42,43,1,0,19,-1,0,-1,closer
1,17,24,42,43,1,19,3,-1,0,-1,farther
1,17,25,42,43,1,19,3,-1,0,-1,farther
1,17,38,42,43,1,19,3,-1,0,-1,farther
1,18,44,42,43,1,6,15,-1,0,-1,farther
