trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
0,0,21,42,42,0,11,12,-1,0,-1,farther
0,0,39,42,42,0,7,11,11,1,0.66022,closer
0,1,13,42,42,0,1,15,15,1,0.307959,closer
0,1,20,42,42,0,1,15,15,1,2.18899,closer
0,1,23,42,42,0,19,15,15,1,2.19051,closer
0,1,28,42,42,0,10,15,15,1,2.19136,closer
0,2,21,42,42,0,11,12,-1,0,-1,farther
0,2,39,42,42,0,11,7,-1,0,-1,farther
0,2,42,42,42,0,4,11,11,1,0.317803,closer
0,3,17,42,42,0,8,0,0,1,0.140331,closer
0,3,19,42,42,0,8,0,0,1,0.141403,closer
0,3,45,42,42,0,2,0,0,1,0.142134,closer
0,4,18,42,42,0,6,4,4,1,0.122737,closer
0,4,46,42,42,0,6,4,4,1,0.123789,closer
0,5,26,42,42,0,8,0,-1,0,-1,farther
0,5,49,42,42,0,8,0,-1,0,-1,farther
0,7,2,42,42,0,1,18,18,1,0.346502,closer
0,7,5,42,42,0,18,5,-1,0,-1,farther
0,7,7,42,42,0,1,18,18,1,0.347824,closer
0,7,22,42,42,0,18,7,-1,0,-1,farther
0,7,27,42,42,0,1,18,18,1,0.348705,closer
0,7,34,42,42,0,18,3,-1,0,-1,farther
0,7,45,42,42,0,0,18,18,1,0.349416,closer
0,7,48,42,42,0,2,18,18,1,0.350117,closer
0,8,6,42,42,0,13,13,-1,0,-1,farther
0,8,11,42,42,0,19,13,13,1,3.11353,closer
0,8,37,42,42,0,13,14,-1,0,-1,farther
0,9,2,42,42,0,18,1,-1,0,-1,farther
0,9,5,42,42,0,18,18,18,1,0.123638,closer
0,9,7,42,42,0,18,1,-1,0,-1,farther
0,9,22,42,42,0,18,18,-1,0,-1,farther
0,9,27,42,42,0,18,1,-1,0,-1,farther
0,9,34,42,42,0,18,18,18,1,0.12487,closer
0,9,40,42,42,0,3,18,18,1,0.125671,closer
0,9,45,42,42,0,18,0,-1,0,-1,farther
0,9,48,42,42,0,18,2,-1,0,-1,farther
0,10,0,42,42,0,10,19,-1,0,-1,farther
0,10,9,42,42,0,10,19,-1,0,-1,farther
0,10,10,42,42,0,10,4,-1,0,-1,farther
0,10,31,42,42,0,10,19,-1,0,-1,farther
0,10,32,42,42,0,10,19,-1,0,-1,farther
0,10,43,42,42,0,10,19,-1,0,-1,farther
0,11,6,42,42,0,13,3,-1,0,-1,farther
0,11,11,42,42,0,13,19,-1,0,-1,farther
0,11,34,42,42,0,18,13,13,1,0.30061,closer
0,11,37,42,42,0,13,14,-1,0,-1,farther
0,11,40,42,42,0,18,13,13,1,0.301872,closer
0,12,0,42,42,0,10,9,9,1,0.155452,closer
0,12,28,42,42,0,15,9,9,1,0.156603,closer
0,12,43,42,42,0,10,9,9,1,0.157284,closer
0,13,15,42,42,0,16,19,-1,0,-1,farther
0,13,29,42,42,0,16,3,-1,0,-1,farther
0,13,47,42,42,0,1,16,16,1,0.275446,closer
0,15,6,42,42,0,13,3,-1,0,-1,farther
0,15,11,42,42,0,13,19,-1,0,-1,farther
0,15,34,42,42,0,13,18,-1,0,-1,farther
0,15,37,42,42,0,13,14,-1,0,-1,farther
0,15,40,42,42,0,13,18,-1,0,-1,farther
0,16,25,42,42,0,3,13,-1,0,-1,farther
0,17,10,42,42,0,10,15,15,1,0.213401,closer
0,17,13,42,42,0,15,16,-1,0,-1,farther
0,17,20,42,42,0,15,16,-1,0,-1,farther
0,17,23,42,42,0,15,19,-1,0,-1,farther
0,18,25,42,42,0,3,13,-1,0,-1,farther
0,19,4,42,42,0,19,7,7,1,0.127844,closer
0,19,14,42,42,0,7,0,-1,0,-1,farther
0,19,24,42,42,0,7,0,-1,0,-1,farther
0,19,30,42,42,0,7,0,-1,0,-1,farther
1,0,3,42,43,0,0,0,0,1,0.960809,closer
1,0,6,42,43,0,0,16,-1,0,-1,farther
1,0,9,42,43,0,0,3,-1,0,-1,farther
1,0,19,42,43,0,0,3,-1,0,-1,farther
1,1,7,42,43,0,7,13,13,1,0.341476,closer
1,1,8,42,43,0,18,13,13,1,0.362044,closer
1,2,10,42,43,0,8,18,-1,0,-1,farther
1,2,12,42,43,0,4,8,8,1,0.156293,closer
1,2,31,42,43,0,4,8,8,1,0.157225,closer
1,2,45,42,43,0,4,8,8,1,0.158076,closer
1,3,7,42,43,0,13,7,-1,0,-1,farther
1,3,8,42,43,0,13,18,-1,0,-1,farther
1,3,10,42,43,0,8,13,13,1,0.175909,closer
1,3,37,42,43,0,18,13,13,1,0.177101,closer
1,3,46,42,43,0,18,13,13,1,0.177872,closer
1,3,49,42,43,0,18,13,13,1,0.178843,closer
1,4,27,42,43,0,12,3,-1,0,-1,farther
1,4,29,42,43,0,10,12,12,1,0.13202,closer
1,4,34,42,43,0,12,3,-1,0,-1,farther
1,4,47,42,43,0,10,12,12,1,0.254096,closer
1,5,8,42,43,0,13,5,5,1,0.266833,closer
1,5,16,42,43,0,5,14,-1,0,-1,farther
1,5,33,42,43,0,5,19,-1,0,-1,farther
1,5,40,42,43,0,5,14,-1,0,-1,farther
1,7,2,42,43,0,19,9,-1,0,-1,farther
1,7,3,42,43,0,0,19,19,1,0.142444,closer
1,7,10,42,43,0,13,19,19,1,0.144006,closer
1,7,24,42,43,0,19,9,-1,0,-1,farther
1,7,25,42,43,0,19,9,-1,0,-1,farther
1,7,38,42,43,0,19,9,-1,0,-1,farther
1,8,20,42,43,0,18,13,-1,0,-1,farther
1,8,22,42,43,0,14,18,18,1,0.131299,closer
1,8,28,42,43,0,18,13,-1,0,-1,farther
1,9,2,42,43,0,19,9,-1,0,-1,farther
1,9,3,42,43,0,19,19,-1,0,-1,farther
1,9,9,42,43,0,0,19,19,1,0.30074,closer
1,9,10,42,43,0,19,13,-1,0,-1,farther
1,9,24,42,43,0,19,9,-1,0,-1,farther
1,9,25,42,43,0,19,9,-1,0,-1,farther
1,9,38,42,43,0,19,9,-1,0,-1,farther
1,10,4,42,43,0,9,3,3,1,0.230814,closer
1,10,23,42,43,0,3,19,-1,0,-1,farther
1,11,12,42,43,0,8,4,-1,0,-1,farther
1,11,27,42,43,0,12,8,8,1,0.253245,closer
1,11,31,42,43,0,8,4,-1,0,-1,farther
1,11,41,42,43,0,6,8,8,1,0.254887,closer
1,11,45,42,43,0,8,4,-1,0,-1,farther
1,12,11,42,43,0,4,1,1,1,0.12485,closer
1,12,21,42,43,0,1,1,-1,0,-1,farther
1,12,39,42,43,0,1,18,-1,0,-1,farther
1,13,13,42,43,0,15,15,-1,0,-1,farther
1,13,30,42,43,0,15,15,15,1,0.134083,closer
1,13,42,42,43,0,15,15,-1,0,-1,farther
1,14,7,42,43,0,13,5,-1,0,-1,farther
1,14,37,42,43,0,13,16,-1,0,-1,farther
1,14,46,42,43,0,13,16,-1,0,-1,farther
1,14,49,42,43,0,13,16,-1,0,-1,farther
1,15,20,42,43,0,18,9,9,1,0.138869,closer
1,15,26,42,43,0,9,2,-1,0,-1,farther
1,15,28,42,43,0,18,9,9,1,0.167949,closer
1,16,18,42,43,0,14,2,2,1,0.361743,closer
1,17,2,42,43,0,19,3,-1,0,-1,farther
1,17,3,42,43,0,19,0,-1,0,-1,farther
1,17,9,42,43,0,19,19,-1,0,-1,farther
1,17,10,42,43,0,19,9,-1,0,-1,farther
1,17,19,42,43,0,0,19,19,1,0.122627,closer
1,17,24,42,43,0,19,3,-1,0,-1,farther
1,17,25,42,43,0,19,3,-1,0,-1,farther
1,17,38,42,43,0,19,3,-1,0,-1,farther
1,18,44,42,43,0,6,15,-1,0,-1,farther
1,19,6,42,43,0,0,19,-1,0,-1,farther
2,0,10,42,44,0,13,0,0,1,0.255288,closer
2,0,16,42,44,0,13,0,0,1,0.277097,closer
2,0,21,42,44,0,8,0,0,1,0.297385,closer
2,0,22,42,44,0,8,0,0,1,0.317082,closer
2,0,23,42,44,0,13,0,0,1,0.336729,closer
2,0,36,42,44,0,8,0,0,1,0.357006,closer
2,0,39,42,44,0,8,0,0,1,0.376853,closer
2,0,44,42,44,0,8,0,0,1,0.39657,closer
2,1,22,42,44,0,0,14,14,1,0.375032,closer
2,1,34,42,44,0,14,19,-1,0,-1,farther
2,1,42,42,44,0,4,14,14,1,0.376343,closer
2,3,18,42,44,0,6,5,5,1,0.147201,closer
2,3,40,42,44,0,6,5,5,1,0.148683,closer
2,4,3,42,44,0,13,10,-1,0,-1,farther
2,4,4,42,44,0,13,5,-1,0,-1,farther
2,4,48,42,44,0,13,12,-1,0,-1,farther
2,4,49,42,44,0,9,13,13,1,0.390973,closer
2,5,9,42,44,0,6,3,3,1,0.22688,closer
2,5,15,42,44,0,17,3,3,1,0.228422,closer
2,5,24,42,44,0,16,3,3,1,0.229243,closer
2,5,33,42,44,0,17,3,3,1,0.230064,closer
2,5,37,42,44,0,3,17,-1,0,-1,farther
2,6,22,42,44,0,14,0,-1,0,-1,farther
2,6,34,42,44,0,14,19,-1,0,-1,farther
2,6,41,42,44,0,10,14,14,1,0.254817,closer
2,6,42,42,44,0,14,4,-1,0,-1,farther
2,7,12,42,44,0,10,14,-1,0,-1,farther
2,7,31,42,44,0,10,14,-1,0,-1,farther
2,7,32,42,44,0,17,10,10,1,0.167488,closer
2,8,14,42,44,0,12,5,-1,0,-1,farther
2,8,22,42,44,0,14,12,12,1,0.156314,closer
2,8,27,42,44,0,12,2,-1,0,-1,farther
2,8,29,42,44,0,7,12,12,1,0.157515,closer
2,8,35,42,44,0,12,2,-1,0,-1,farther
2,8,42,42,44,0,14,12,12,1,0.158687,closer
2,8,45,42,44,0,12,5,-1,0,-1,farther
2,9,4,42,44,0,13,6,6,1,0.143125,closer
2,9,16,42,44,0,0,6,6,1,0.171714,closer
2,9,25,42,44,0,6,5,-1,0,-1,farther
2,9,26,42,44,0,6,5,-1,0,-1,farther
2,10,9,42,44,0,3,10,-1,0,-1,farther
2,10,15,42,44,0,3,10,-1,0,-1,farther
2,10,24,42,44,0,3,10,-1,0,-1,farther
2,10,33,42,44,0,3,10,-1,0,-1,farther
2,10,37,42,44,0,3,3,-1,0,-1,farther
2,11,40,42,44,0,5,17,17,1,0.136035,closer
2,12,3,42,44,0,13,6,-1,0,-1,farther
2,12,41,42,44,0,14,13,13,1,2.61564,closer
2,12,48,42,44,0,13,6,-1,0,-1,farther
2,12,49,42,44,0,13,9,-1,0,-1,farther
2,13,1,42,44,0,15,3,-1,0,-1,farther
2,13,2,42,44,0,15,19,-1,0,-1,farther
2,13,7,42,44,0,15,3,-1,0,-1,farther
2,13,22,42,44,0,12,15,15,1,0.182529,closer
2,14,12,42,44,0,10,13,-1,0,-1,farther
