[bench-env] cpu_model=AMD Ryzen 9 8945HS w/ Radeon 780M Graphics
[bench-env] nproc=2
[bench-env] kernel=7.0.0-30-generic
[bench-env] gmp=6.3.0
[bench-env] build=Release
[bench-env] git=not-embedded (see run_full_eval.sh env.txt)
[bench-run] broker=127.0.0.1:8080 num_pubs=20 num_subs=50 num_migrations=20 trials=30 seed=42 encrypted=0 timeout_ms=1000
[bench-net] subscriber_so_rcvbuf requested=4194304 actual=8388608
Trial 0 migration 0 (moved pub 11): closer=1 farther=1
Trial 0 migration 1 (moved pub 15): closer=4 farther=0
Trial 0 migration 2 (moved pub 11): closer=1 farther=2
Trial 0 migration 3 (moved pub 0): closer=3 farther=0
Trial 0 migration 4 (moved pub 4): closer=2 farther=0
Trial 0 migration 5 (moved pub 8): closer=0 farther=2
Trial 0 migration 6 (moved pub 9): closer=0 farther=0
Trial 0 migration 7 (moved pub 18): closer=5 farther=3
Trial 0 migration 8 (moved pub 13): closer=1 farther=2
Trial 0 migration 9 (moved pub 18): closer=3 farther=6
Trial 0 migration 10 (moved pub 10): closer=0 farther=6
Trial 0 migration 11 (moved pub 13): closer=2 farther=3
Trial 0 migration 12 (moved pub 9): closer=3 farther=0
Trial 0 migration 13 (moved pub 16): closer=1 farther=2
Trial 0 migration 14 (moved pub 1): closer=0 farther=0
Trial 0 migration 15 (moved pub 13): closer=0 farther=5
Trial 0 migration 16 (moved pub 3): closer=0 farther=1
Trial 0 migration 17 (moved pub 15): closer=1 farther=3
Trial 0 migration 18 (moved pub 3): closer=0 farther=1
Trial 0 migration 19 (moved pub 7): closer=1 farther=3
Trial 1 migration 0 (moved pub 0): closer=1 farther=3
Trial 1 migration 1 (moved pub 13): closer=2 farther=0
Trial 1 migration 2 (moved pub 8): closer=3 farther=1
Trial 1 migration 3 (moved pub 13): closer=4 farther=2
Trial 1 migration 4 (moved pub 12): closer=2 farther=2
Trial 1 migration 5 (moved pub 5): closer=1 farther=3
Trial 1 migration 6 (moved pub 11): closer=0 farther=0
Trial 1 migration 7 (moved pub 19): closer=2 farther=4
Trial 1 migration 8 (moved pub 18): closer=1 farther=2
Trial 1 migration 9 (moved pub 19): closer=1 farther=6
Trial 1 migration 10 (moved pub 3): closer=1 farther=1
Trial 1 migration 11 (moved pub 8): closer=2 farther=3
Trial 1 migration 12 (moved pub 1): closer=1 farther=2
Trial 1 migration 13 (moved pub 15): closer=1 farther=2
Trial 1 migration 14 (moved pub 13): closer=0 farther=4
Trial 1 migration 15 (moved pub 9): closer=2 farther=1
Trial 1 migration 16 (moved pub 2): closer=1 farther=0
Trial 1 migration 17 (moved pub 19): closer=1 farther=7
Trial 1 migration 18 (moved pub 6): closer=0 farther=1
Trial 1 migration 19 (moved pub 0): closer=0 farther=1
Trial 2 migration 0 (moved pub 0): closer=8 farther=0
Trial 2 migration 1 (moved pub 14): closer=2 farther=1
Trial 2 migration 2 (moved pub 18): closer=0 farther=0
Trial 2 migration 3 (moved pub 5): closer=2 farther=0
Trial 2 migration 4 (moved pub 13): closer=1 farther=3
Trial 2 migration 5 (moved pub 3): closer=4 farther=1
Trial 2 migration 6 (moved pub 14): closer=1 farther=3
Trial 2 migration 7 (moved pub 10): closer=1 farther=2
Trial 2 migration 8 (moved pub 12): closer=3 farther=4
Trial 2 migration 9 (moved pub 6): closer=2 farther=2
Trial 2 migration 10 (moved pub 3): closer=0 farther=5
Trial 2 migration 11 (moved pub 17): closer=1 farther=0
Trial 2 migration 12 (moved pub 13): closer=1 farther=3
Trial 2 migration 13 (moved pub 15): closer=1 farther=3
Trial 2 migration 14 (moved pub 10): closer=0 farther=3
Trial 2 migration 15 (moved pub 14): closer=2 farther=1
Trial 2 migration 16 (moved pub 1): closer=0 farther=1
Trial 2 migration 17 (moved pub 1): closer=2 farther=1
Trial 2 migration 18 (moved pub 15): closer=2 farther=3
Trial 2 migration 19 (moved pub 0): closer=1 farther=5
Trial 3 migration 0 (moved pub 13): closer=1 farther=5
Trial 3 migration 1 (moved pub 14): closer=0 farther=3
Trial 3 migration 2 (moved pub 10): closer=3 farther=2
Trial 3 migration 3 (moved pub 11): closer=1 farther=0
