seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,0,42,20,50,2,0,74.4421,-54.5183,1,10,14.4598,1,10,14.4598,1,1
42,0,42,20,50,2,1,-39.1379,-96.6861,1,2,14.5086,1,2,14.5086,1,1
42,0,42,20,50,2,2,-2.82805,-39.8475,1,1,38.8805,1,1,38.8805,1,1
42,0,42,20,50,2,3,88.5778,23.7459,2,19,1.67586,1,1,59.6157,35.5731,0
42,0,42,20,50,2,4,79.2484,20.4303,2,19,7.97704,1,1,52.1558,6.53825,0
42,0,42,20,50,2,5,-34.3383,151.93,2,18,19.0343,1,5,50.1833,2.63646,0
42,0,42,20,50,2,6,49.6081,94.9059,2,13,35.1152,1,3,38.0901,1.08472,0
42,0,42,20,50,2,7,-10.6771,-54.2007,1,1,51.8334,1,1,51.8334,1,1
42,0,42,20,50,2,8,-32.6055,-119.078,1,6,10.151,1,2,29.4666,2.90283,0
42,0,42,20,50,2,9,86.097,-138.605,1,10,2.4239,1,10,2.4239,1,1
42,0,42,20,50,2,10,45.5301,-88.8902,1,10,41.4877,1,10,41.4877,1,1
42,0,42,20,50,2,11,80.0252,59.985,2,19,9.27065,1,1,66.0299,7.12248,0
42,0,42,20,50,2,12,-50.6727,-109.199,1,2,12.1101,1,2,12.1101,1,1
42,0,42,20,50,2,13,51.5826,-23.7544,1,1,17.5334,1,1,17.5334,1,1
42,0,42,20,50,2,14,-74.6437,97.2496,2,7,3.98853,1,7,3.98853,1,1
42,0,42,20,50,2,15,81.2163,179.597,2,16,7.21532,1,3,63.7995,8.84223,0
42,0,42,20,50,2,16,-68.6344,-95.8432,1,2,16.0226,1,2,16.0226,1,1
42,0,42,20,50,2,17,-48.5447,37.0752,2,8,28.1695,1,7,36.2855,1.28812,0
42,0,42,20,50,2,18,22.1547,-99.9337,1,6,63.1167,1,10,64.5665,1.02297,0
42,0,42,20,50,2,19,-59.5895,22.806,2,8,15.8025,1,7,31.8433,2.01508,0
42,0,42,20,50,2,20,50.2483,-7.85559,1,1,21.7697,1,1,21.7697,1,1
42,0,42,20,50,2,21,-2.63178,19.7129,2,11,14.09,1,1,58.8516,4.17683,0
42,0,42,20,50,2,22,-46.4749,153.382,2,18,10.0486,1,7,39.3912,3.92005,0
42,0,42,20,50,2,23,72.7561,21.8393,2,19,14.5474,1,1,48.4955,3.33362,0
42,0,42,20,50,2,24,-72.8476,137.706,2,7,13.8426,1,7,13.8426,1,1
42,0,42,20,50,2,25,31.6172,125.365,2,3,8.56684,1,3,8.56684,1,1
42,0,42,20,50,2,26,-65.592,43.2849,2,8,12.8027,1,7,19.4891,1.52226,0
42,0,42,20,50,2,27,2.67494,-52.5295,1,1,39.3245,1,1,39.3245,1,1
42,0,42,20,50,2,28,57.0429,-71.4849,1,10,31.081,1,10,31.081,1,1
42,0,42,20,50,2,29,51.8581,144.798,2,16,24.828,1,3,29.3807,1.18337,0
42,0,42,20,50,2,30,-77.1177,86.1488,2,7,6.67941,1,7,6.67941,1,1
42,0,42,20,50,2,31,72.1976,-111.504,1,10,14.6408,1,10,14.6408,1,1
42,0,42,20,50,2,32,85.1528,-132.694,1,10,2.72516,1,10,2.72516,1,1
42,0,42,20,50,2,33,52.7855,34.615,2,14,2.74103,1,1,48.9328,17.852,0
42,0,42,20,50,2,34,-26.3139,166.392,2,18,32.3408,1,3,62.0433,1.91842,0
42,0,42,20,50,2,35,-61.2895,-132.131,1,17,16.9024,1,2,24.4182,1.44466,0
42,0,42,20,50,2,36,-10.7317,52.1574,2,12,40.2271,1,9,41.8912,1.04137,0
42,0,42,20,50,2,37,33.7908,65.5869,2,13,16.9128,1,9,30.0376,1.77603,0
42,0,42,20,50,2,38,12.7698,33.0939,2,12,12.8811,1,9,53.2644,4.13508,0
42,0,42,20,50,2,39,-46.2869,59.8444,2,7,30.2504,1,7,30.2504,1,1
42,0,42,20,50,2,40,-4.60001,150.661,2,3,35.0725,1,3,35.0725,1,1
