seed,trial,trial_seed,num_pubs,num_subs,brake_limit,encrypted,sub_id,sub_lat,sub_lon,optimal_pub_id,optimal_dist,received_pub_id,received_dist,stretch,recall,num_received,latency_ms,latency_per_pub_ms
42,0,42,10,50,4,0,0,86.7168,-101.214,1,63.6232,1,63.6232,1,1,2,112.528,101.143
42,0,42,10,50,4,0,1,-8.20873,6.71545,1,54.2738,1,54.2738,1,1,2,112.529,101.144
42,0,42,10,50,4,0,2,13.2915,19.8832,1,48.5146,1,48.5146,1,1,2,112.53,101.144
42,0,42,10,50,4,0,3,41.1383,46.3946,9,47.2368,9,47.2368,1,1,3,112.571,10.4784
42,0,42,10,50,4,0,4,53.3031,30.1377,1,45.9897,1,45.9897,1,1,2,112.531,101.146
42,0,42,10,50,4,0,5,-40.542,118.655,5,25.3886,5,25.3886,1,1,3,112.572,55.0923
42,0,42,10,50,4,0,6,74.4624,167.545,3,55.2627,3,55.2627,1,1,3,112.573,76.8842
42,0,42,10,50,4,0,7,-44.6247,-136.82,6,12.6427,6,12.6427,1,1,4,112.592,44.7043
42,0,42,10,50,4,0,8,-51.2045,139.912,7,29.7058,7,29.7058,1,1,4,112.593,33.6432
42,0,42,10,50,4,0,9,87.0422,6.18704,1,55.3077,1,55.3077,1,1,2,112.535,101.149
42,0,42,10,50,4,0,10,74.4421,-54.5183,1,43.0174,1,43.0174,1,1,2,112.535,101.15
42,0,42,10,50,4,0,11,-39.1379,-96.6861,2,14.5086,2,14.5086,1,1,2,112.536,87.7405
42,0,42,10,50,4,0,12,-2.82805,-39.8475,1,38.8805,1,38.8805,1,1,2,112.537,101.151
42,0,42,10,50,4,0,13,88.5778,23.7459,1,59.6157,1,59.6157,1,1,2,112.537,101.152
42,0,42,10,50,4,0,14,79.2484,20.4303,1,52.1558,1,52.1558,1,1,2,112.538,101.153
42,0,42,10,50,4,0,15,-34.3383,151.93,5,50.1833,5,50.1833,1,1,3,112.575,55.095
42,0,42,10,50,4,0,16,49.6081,94.9059,3,38.0901,3,38.0901,1,1,3,112.575,76.8869
42,0,42,10,50,4,0,17,-10.6771,-54.2007,1,51.8334,1,51.8334,1,1,2,112.54,101.155
42,0,42,10,50,4,0,18,-32.6055,-119.078,6,10.151,6,10.151,1,1,3,112.576,44.6881
42,0,42,10,50,4,0,19,86.097,-138.605,1,75.5449,1,75.5449,1,1,2,112.542,101.156
42,0,42,10,50,4,0,20,45.5301,-88.8902,1,48.0966,1,48.0966,1,1,2,112.543,101.157
42,0,42,10,50,4,0,21,80.0252,59.985,1,66.0299,1,66.0299,1,1,2,112.543,101.158
42,0,42,10,50,4,0,22,-50.6727,-109.199,2,12.1101,2,12.1101,1,1,2,112.544,87.7485
42,0,42,10,50,4,0,23,51.5826,-23.7544,1,17.5334,1,17.5334,1,1,2,112.545,101.159
42,0,42,10,50,4,0,24,-74.6437,97.2496,7,3.98853,7,3.98853,1,1,2,112.546,33.5959
42,0,42,10,50,4,0,25,81.2163,179.597,3,63.7995,3,63.7995,1,1,3,112.577,76.8887
42,0,42,10,50,4,0,26,-68.6344,-95.8432,2,16.0226,2,16.0226,1,1,2,112.548,87.7521
42,0,42,10,50,4,0,27,-48.5447,37.0752,8,28.1695,8,28.1695,1,1,4,112.594,21.4189
42,0,42,10,50,4,0,28,22.1547,-99.9337,6,63.1167,6,63.1167,1,1,3,112.579,44.6905
42,0,42,10,50,4,0,29,-59.5895,22.806,8,15.8025,8,15.8025,1,1,3,112.58,21.4044
42,0,42,10,50,4,0,30,50.2483,-7.85559,1,21.7697,1,21.7697,1,1,2,112.55,101.165
42,0,42,10,50,4,0,31,-2.63178,19.7129,1,58.8516,1,58.8516,1,1,2,112.551,101.165
42,0,42,10,50,4,0,32,-46.4749,153.382,7,39.3912,7,39.3912,1,1,4,112.595,33.6447
42,0,42,10,50,4,0,33,72.7561,21.8393,1,48.4955,1,48.4955,1,1,2,112.553,101.167
42,0,42,10,50,4,0,34,-72.8476,137.706,7,13.8426,7,13.8426,1,1,2,112.554,33.6038
42,0,42,10,50,4,0,35,31.6172,125.365,3,8.56684,3,8.56684,1,1,3,112.581,76.8928
42,0,42,10,50,4,0,36,-65.592,43.2849,8,12.8027,8,12.8027,1,1,3,112.582,21.407
42,0,42,10,50,4,0,37,2.67494,-52.5295,1,39.3245,1,39.3245,1,1,2,112.556,101.17
42,0,42,10,50,4,0,38,57.0429,-71.4849,1,37.9961,1,37.9961,1,1,2,112.557,101.171
42,0,42,10,50,4,0,39,51.8581,144.798,3,29.3807,3,29.3807,1,1,3,112.583,76.8944
42,0,42,10,50,4,0,40,-77.1177,86.1488,7,6.67941,7,6.67941,1,1,2,112.558,33.6082
42,0,42,10,50,4,0,41,72.1976,-111.504,1,62.7406,1,62.7406,1,1,2,112.559,101.173
42,0,42,10,50,4,0,42,85.1528,-132.694,1,73.3081,1,73.3081,1,1,2,112.56,101.174
42,0,42,10,50,4,0,43,52.7855,34.615,1,48.9328,1,48.9328,1,1,2,112.56,101.175
42,0,42,10,50,4,0,44,-26.3139,166.392,3,62.0433,3,62.0433,1,1,2,112.561,76.8725
42,0,42,10,50,4,0,45,-61.2895,-132.131,2,24.4182,2,24.4182,1,1,2,112.562,87.7663
42,0,42,10,50,4,0,46,-10.7317,52.1574,9,41.8912,9,41.8912,1,1,5,112.615,10.5223
42,0,42,10,50,4,0,47,33.7908,65.5869,9,30.0376,9,30.0376,1,1,4,112.596,10.5032
42,0,42,10,50,4,0,48,12.7698,33.0939,9,53.2644,9,53.2644,1,1,3,112.586,10.4927
42,0,42,10,50,4,0,49,-46.2869,59.8444,7,30.2504,7,30.2504,1,1,3,112.586,33.6364
42,1,43,10,50,4,0,0,-81.2576,8.15625,7,17.9095,7,17.9095,1,1,3,108.792,35.0356
42,1,43,10,50,4,0,1,-61.9798,137.927,2,14.1322,2,14.1322,1,1,3,108.793,88.112
42,1,43,10,50,4,0,2,-35.5547,-168.047,3,55.0813,3,55.0813,1,1,2,108.534,77.3752
42,1,43,10,50,4,0,3,-12.52,116.147,1,30.5435,1,30.5435,1,1,2,108.535,98.1974
42,1,43,10,50,4,0,4,69.7657,139.799,5,5.45736,5,5.45736,1,1,3,108.793,55.9993
42,1,43,10,50,4,0,5,69.8343,-79.2949,8,23.494,8,23.494,1,1,4,108.817,23.5969
42,1,43,10,50,4,0,6,-66.621,-43.2769,7,42.8264,7,42.8264,1,1,2,108.537,34.7806
42,1,43,10,50,4,0,7,-85.9185,-83.312,7,32.4873,7,32.4873,1,1,3,108.795,35.0385
42,1,43,10,50,4,0,8,-27.2091,7.42296,4,56.1263,4,56.1263,1,1,3,108.795,67.0092
42,1,43,10,50,4,0,9,-13.4045,163.284,9,34.1051,9,34.1051,1,1,4,108.818,12.9504
